time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-18T23:45:42.630Z,-32.6542,-67.2938,166.23,5,mb,,27,1.616,0.7,us,us10008tg7,2017-05-19T04:40:05.040Z,"108km WNW of La Punta, Argentina",earthquake,7,5.1,0.025,493,reviewed,us,us
2017-05-18T23:07:04.660Z,30.3205,96.8954,28.76,4.5,mb,,48,5.04,0.71,us,us10008tg3,2017-05-19T04:54:50.040Z,"29km N of Baima, China",earthquake,8.7,5.4,0.059,83,reviewed,us,us
2017-05-18T21:34:40.840Z,36.384,71.3656,100.48,4.2,mb,,79,0.974,0.61,us,us10008tfh,2017-05-19T03:49:21.040Z,"36km SSW of Ashkasham, Afghanistan",earthquake,8.8,6.3,0.087,37,reviewed,us,us
2017-05-18T21:15:34.890Z,19.3513333,-155.0806667,7.188,3.23,ml,39,161,0.03806,0.13,hv,hv61758126,2017-05-19T09:24:55.314Z,"17km S of Fern Acres, Hawaii",earthquake,0.44,0.56,0.109,37,reviewed,hv,hv
2017-05-18T21:07:34.680Z,19.128,-155.3398333,6.573,2.91,ml,54,194,0.1188,0.16,hv,hv61758121,2017-05-19T03:52:14.040Z,"17km ESE of Pahala, Hawaii",earthquake,0.82,1.11,0.156,38,reviewed,hv,hv
2017-05-18T20:58:34.730Z,19.1513333,-155.3433333,2.903,2.67,ml,50,185,0.09984,0.17,hv,hv61758086,2017-05-19T05:01:05.134Z,"15km ESE of Pahala, Hawaii",earthquake,0.73,1.3,0.192,39,reviewed,hv,hv
2017-05-18T19:26:58.815Z,59.77,-153.2012,100.3,3,ml,,,,0.69,ak,ak16063247,2017-05-18T19:36:40.593Z,"76km W of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2017-05-18T18:15:32.560Z,47.5931667,-122.5891667,25.11,2.5,ml,33,36,0.01626,0.32,uw,uw61267487,2017-05-19T17:37:31.606Z,"1km NE of Enetai, Washington",earthquake,0.48,0.65,0.286,28,reviewed,uw,uw
2017-05-18T16:33:05.820Z,18.5795,-67.4583,15,2.89,md,13,202,0.1962,0.26,pr,pr2017138012,2017-05-19T13:29:07.040Z,"32km NW of Rincon, Puerto Rico",earthquake,1.01,0.79,0.3,12,reviewed,pr,pr
2017-05-18T13:00:06.530Z,-14.4913,-73.3767,99.29,4.4,mb,,131,4.192,1.01,us,us10008taf,2017-05-18T17:25:36.040Z,"67km ENE of Tambo, Peru",earthquake,9.9,14.8,0.24,5,reviewed,us,us
2017-05-18T11:59:45.890Z,24.419,-108.9665,10,4.4,mb,,102,1.154,1.16,us,us10008ta6,2017-05-18T12:35:27.040Z,"118km SW of La Reforma, Mexico",earthquake,8.1,1.9,0.042,166,reviewed,us,us
2017-05-18T11:07:34.990Z,62.8551,-149.5289,75.9,3.3,ml,,,,0.59,ak,ak16061428,2017-05-18T11:20:23.174Z,"66km NNE of Talkeetna, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-18T10:49:39.360Z,24.4604,-108.9156,10,4.3,mb,,126,1.216,1.34,us,us10008t9u,2017-05-18T11:28:54.040Z,"111km SW of La Reforma, Mexico",earthquake,3.9,2,0.046,136,reviewed,us,us
2017-05-18T10:26:48.230Z,36.5733,70.1641,212.32,4.7,mb,,70,0.642,0.85,us,us10008t9s,2017-05-18T10:41:46.040Z,"27km E of Farkhar, Afghanistan",earthquake,4.7,6.5,0.094,34,reviewed,us,us
2017-05-18T09:13:57.229Z,51.6314,-178.3511,6.7,3.7,ml,,,,0.8,ak,ak16060839,2017-05-18T21:48:27.319Z,"31km SSW of Tanaga Volcano, Alaska",earthquake,,0.6,,,reviewed,ak,ak
2017-05-18T05:29:04.488Z,52.28,-170.4942,25.6,4,ml,,,,0.9,ak,ak16060223,2017-05-18T20:51:57.536Z,"41km SSE of Yunaska Island, Alaska",earthquake,,2,,,reviewed,ak,ak
